FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
2747,3879,Noise - Vehicle,40.77849622,-73.95631771,5AM,Upper East Side-Carnegie Hill
2748,3908,Noise - Vehicle,40.78075365,-73.95257541,9AM,Upper East Side-Carnegie Hill
2759,4720,Noise - Vehicle,40.76886737,-73.96332778,5PM,Upper East Side-Carnegie Hill
2766,18,Noise - Vehicle,40.80615796,-73.9503936,11PM,Central Harlem South
2770,52,Noise - Vehicle,40.8039585,-73.94827133,9AM,Central Harlem South
2772,133,Noise - Vehicle,40.8070011,-73.95159946,9PM,Central Harlem South
2774,155,Noise - Vehicle,40.80489963,-73.9475843,7PM,Central Harlem South
2791,509,Noise - Vehicle,40.80578479,-73.95065396,8AM,Central Harlem South
2797,825,Noise - Vehicle,40.80144985,-73.94834191,10PM,Central Harlem South
2804,1160,Noise - Vehicle,40.80572595,-73.95441428,9PM,Central Harlem South
2816,1484,Noise - Vehicle,40.80153627,-73.95842281,8PM,Central Harlem South
2861,4373,Noise - Vehicle,40.80607845,-73.94455273,2AM,Central Harlem South
2862,4420,Noise - Vehicle,40.80544738,-73.945012,4AM,Central Harlem South
2878,3565,Noise - Vehicle,40.73233574,-73.97780234,2PM,Stuyvesant Town-Cooper Village
2880,3726,Noise - Vehicle,40.73399082,-73.97775849,6AM,Stuyvesant Town-Cooper Village
2885,159,Noise - Vehicle,40.8672782,-73.92656508,10PM,Marble Hill-Inwood
2886,184,Noise - Vehicle,40.86265078,-73.91860575,12AM,Marble Hill-Inwood
2889,289,Noise - Vehicle,40.86440268,-73.92376635,8PM,Marble Hill-Inwood
2894,400,Noise - Vehicle,40.8751907,-73.91038579,7PM,Marble Hill-Inwood
2896,472,Noise - Vehicle,40.86416104,-73.92360032,4AM,Marble Hill-Inwood
2898,656,Noise - Vehicle,40.8670152,-73.92310895,6PM,Marble Hill-Inwood
2901,711,Noise - Vehicle,40.86958222,-73.91627601,8PM,Marble Hill-Inwood
2902,766,Noise - Vehicle,40.8670152,-73.92310895,6PM,Marble Hill-Inwood
2921,1739,Noise - Vehicle,40.86847325,-73.92403647,11PM,Marble Hill-Inwood
2935,2426,Noise - Vehicle,40.86676099,-73.92061093,2AM,Marble Hill-Inwood
3004,102,Noise - Vehicle,40.73290304,-73.99234333,1PM,West Village
3010,174,Noise - Vehicle,40.72856643,-73.994137,12AM,West Village
3037,502,Noise - Vehicle,40.73170658,-74.00095616,8PM,West Village
3088,1124,Noise - Vehicle,40.73835419,-74.00647731,2PM,West Village
3116,1346,Noise - Vehicle,40.73672939,-74.00454303,2PM,West Village
3134,1591,Noise - Vehicle,40.73100383,-74.00462562,11PM,West Village
3139,1641,Noise - Vehicle,40.73325423,-74.00952939,10PM,West Village
3141,1652,Noise - Vehicle,40.72934329,-74.00365494,10PM,West Village
3177,2007,Noise - Vehicle,40.73019686,-74.00510905,9PM,West Village
3200,2427,Noise - Vehicle,40.73641382,-74.00194855,11PM,West Village
3223,2714,Noise - Vehicle,40.72916768,-74.00119065,3AM,West Village
3236,2850,Noise - Vehicle,40.72935707,-73.99997114,12AM,West Village
3293,3243,Noise - Vehicle,40.73339718,-74.00635415,3AM,West Village
3308,3361,Noise - Vehicle,40.72881356,-74.00334102,3PM,West Village
3310,3384,Noise - Vehicle,40.74084101,-74.00511708,10PM,West Village
3344,3747,Noise - Vehicle,40.72819321,-73.99559105,10AM,West Village
3351,3776,Noise - Vehicle,40.73427275,-73.99365299,9PM,West Village
3438,4075,Noise - Vehicle,40.73681731,-73.99964637,10PM,West Village
3460,4219,Noise - Vehicle,40.72806703,-73.99895369,8PM,West Village
3463,4253,Noise - Vehicle,40.73666907,-73.99734058,11PM,West Village
3467,4328,Noise - Vehicle,40.72819321,-73.99559105,9AM,West Village
3471,4360,Noise - Vehicle,40.73666907,-73.99734058,11PM,West Village
3476,4413,Noise - Vehicle,40.73258746,-73.9934583,9AM,West Village
3479,4467,Noise - Vehicle,40.72819321,-73.99559105,7AM,West Village
3528,562,Noise - Vehicle,40.7412705,-73.98114462,3AM,Murray Hill-Kips Bay
3557,1220,Noise - Vehicle,40.74197037,-73.98085933,2AM,Murray Hill-Kips Bay
3592,2373,Noise - Vehicle,40.74652259,-73.97410203,7PM,Murray Hill-Kips Bay
3609,2810,Noise - Vehicle,40.74649006,-73.9759751,4PM,Murray Hill-Kips Bay
3631,3241,Noise - Vehicle,40.74995966,-73.9771396,2PM,Murray Hill-Kips Bay
3669,3657,Noise - Vehicle,40.74888206,-73.98352447,11PM,Murray Hill-Kips Bay
3670,3673,Noise - Vehicle,40.7412749,-73.97534185,5AM,Murray Hill-Kips Bay
3682,3932,Noise - Vehicle,40.74479455,-73.97987329,4PM,Murray Hill-Kips Bay
3738,4840,Noise - Vehicle,40.74767008,-73.9749497,4PM,Murray Hill-Kips Bay
3741,4885,Noise - Vehicle,40.74792504,-73.97360704,11PM,Murray Hill-Kips Bay
3742,4902,Noise - Vehicle,40.74544144,-73.97539444,6PM,Murray Hill-Kips Bay
3803,2250,Noise - Vehicle,40.73482363,-73.98490272,7PM,Gramercy
3806,2565,Noise - Vehicle,40.74151213,-73.98171111,5PM,Gramercy
3815,3756,Noise - Vehicle,40.73726926,-73.9852594,12AM,Gramercy
3823,4134,Noise - Vehicle,40.74079058,-73.98381155,1AM,Gramercy
3843,149,Noise - Vehicle,40.79413529,-73.9428183,12AM,East Harlem South
3859,1093,Noise - Vehicle,40.79047355,-73.94803985,8PM,East Harlem South
3871,2481,Noise - Vehicle,40.78688254,-73.95230743,8PM,East Harlem South
3872,2489,Noise - Vehicle,40.78688254,-73.95230743,11PM,East Harlem South
3874,2874,Noise - Vehicle,40.78664642,-73.95214871,10PM,East Harlem South
3876,2973,Noise - Vehicle,40.78688254,-73.95230743,8PM,East Harlem South
3878,3498,Noise - Vehicle,40.79031419,-73.94768606,2AM,East Harlem South
3896,70,Noise - Vehicle,40.72821933,-73.98196732,7AM,East Village
3946,975,Noise - Vehicle,40.72697374,-73.98573792,6AM,East Village
3969,1341,Noise - Vehicle,40.72391359,-73.98797177,3AM,East Village
4010,2114,Noise - Vehicle,40.72234299,-73.98320634,8AM,East Village
4022,2309,Noise - Vehicle,40.7223651,-73.98423091,11AM,East Village
4039,2605,Noise - Vehicle,40.72616127,-73.98557574,11PM,East Village
4055,2741,Noise - Vehicle,40.72395717,-73.98506392,4AM,East Village
4115,3802,Noise - Vehicle,40.72461599,-73.98568792,9PM,East Village
4141,4303,Noise - Vehicle,40.73199711,-73.990211,11PM,East Village
4151,4393,Noise - Vehicle,40.73391567,-73.98987154,5AM,East Village
4204,156,Noise - Vehicle,40.7212143,-73.97948719,8PM,Lower East Side
4209,275,Noise - Vehicle,40.72117586,-73.97941865,11AM,Lower East Side
4249,1649,Noise - Vehicle,40.72810629,-73.97899799,11PM,Lower East Side
