FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
892,2947,Noise - Street/Sidewalk,40.72326624,-73.9929361,10PM,SoHo-TriBeCa-Civic Center-Little Italy
894,2999,Noise - Street/Sidewalk,40.71330289,-74.00444043,2PM,SoHo-TriBeCa-Civic Center-Little Italy
916,3429,Noise - Street/Sidewalk,40.71330289,-74.00444043,8AM,SoHo-TriBeCa-Civic Center-Little Italy
927,3509,Noise - Street/Sidewalk,40.71915709,-74.01033185,10PM,SoHo-TriBeCa-Civic Center-Little Italy
959,4279,Noise - Street/Sidewalk,40.72336519,-73.99570321,12AM,SoHo-TriBeCa-Civic Center-Little Italy
960,4291,Noise - Street/Sidewalk,40.72277775,-73.99426017,7AM,SoHo-TriBeCa-Civic Center-Little Italy
962,4347,Noise - Street/Sidewalk,40.72336519,-73.99570321,7AM,SoHo-TriBeCa-Civic Center-Little Italy
965,4424,Noise - Street/Sidewalk,40.72292055,-73.99589445,9AM,SoHo-TriBeCa-Civic Center-Little Italy
966,4438,Noise - Street/Sidewalk,40.72336519,-73.99570321,9AM,SoHo-TriBeCa-Civic Center-Little Italy
967,4470,Noise - Street/Sidewalk,40.72336519,-73.99570321,2AM,SoHo-TriBeCa-Civic Center-Little Italy
970,4518,Noise - Street/Sidewalk,40.72402937,-73.99445849,10PM,SoHo-TriBeCa-Civic Center-Little Italy
972,4549,Noise - Street/Sidewalk,40.71628096,-74.00453442,9AM,SoHo-TriBeCa-Civic Center-Little Italy
977,4702,Noise - Street/Sidewalk,40.71742284,-74.00265504,8PM,SoHo-TriBeCa-Civic Center-Little Italy
978,4704,Noise - Street/Sidewalk,40.72839362,-74.00312813,1AM,SoHo-TriBeCa-Civic Center-Little Italy
991,4967,Noise - Street/Sidewalk,40.72130932,-73.99470404,4AM,SoHo-TriBeCa-Civic Center-Little Italy
992,4970,Noise - Street/Sidewalk,40.71566594,-74.00807674,10PM,SoHo-TriBeCa-Civic Center-Little Italy
993,12,Noise - Street/Sidewalk,40.79432627,-73.93543971,11PM,East Harlem North
994,21,Noise - Street/Sidewalk,40.80026558,-73.94553278,11PM,East Harlem North
996,178,Noise - Street/Sidewalk,40.79585513,-73.93552852,12AM,East Harlem North
997,299,Noise - Street/Sidewalk,40.79973594,-73.94017322,11PM,East Harlem North
998,308,Noise - Street/Sidewalk,40.79995001,-73.9401333,9PM,East Harlem North
999,346,Noise - Street/Sidewalk,40.79658711,-73.93897336,1AM,East Harlem North
1000,353,Noise - Street/Sidewalk,40.79662006,-73.93900222,12AM,East Harlem North
1001,355,Noise - Street/Sidewalk,40.79971945,-73.94013351,12AM,East Harlem North
1002,362,Noise - Street/Sidewalk,40.79978541,-73.94029598,9PM,East Harlem North
1003,363,Noise - Street/Sidewalk,40.80230461,-73.94488096,12AM,East Harlem North
1004,367,Noise - Street/Sidewalk,40.79963428,-73.93997466,11PM,East Harlem North
1005,410,Noise - Street/Sidewalk,40.80612134,-73.94246484,2AM,East Harlem North
1009,901,Noise - Street/Sidewalk,40.79861514,-73.94374268,9PM,East Harlem North
1025,2379,Noise - Street/Sidewalk,40.7950453,-73.93528733,2AM,East Harlem North
1027,2991,Noise - Street/Sidewalk,40.79662006,-73.93900222,1AM,East Harlem North
1028,3035,Noise - Street/Sidewalk,40.79469732,-73.93636031,12AM,East Harlem North
1029,3256,Noise - Street/Sidewalk,40.79604549,-73.93243315,9PM,East Harlem North
1036,4088,Noise - Street/Sidewalk,40.80489435,-73.93702603,11AM,East Harlem North
1045,4479,Noise - Street/Sidewalk,40.80949658,-73.93580791,11AM,East Harlem North
1047,4579,Noise - Street/Sidewalk,40.79897133,-73.94246741,6PM,East Harlem North
1055,144,Noise - Street/Sidewalk,40.7157455,-73.99144347,6PM,Chinatown
1060,323,Noise - Street/Sidewalk,40.72146823,-73.99025944,9PM,Chinatown
1080,859,Noise - Street/Sidewalk,40.71525722,-73.99741358,8PM,Chinatown
1084,1069,Noise - Street/Sidewalk,40.71830906,-73.99084431,2PM,Chinatown
1085,1099,Noise - Street/Sidewalk,40.72118252,-73.98757182,1AM,Chinatown
1120,2012,Noise - Street/Sidewalk,40.71484278,-73.99817473,4PM,Chinatown
